cellType 	 gene 	 date 	 timePt 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_ActD_SerumStarved	UBC	130403	6	19	1	999.910635	2140.062500	929	885	44	193.343750	30528198.000000	2467.124455	4	89	85	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	20	1	1941.980767	3083.015625	1532	1459	73	251.765625	31675261.000000	1965.820207	2	204	195	9	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	21	1	720.610779	2518.078125	678	658	20	220.562500	31606105.000000	2239.026991	13	50	48	2	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	23	1	749.329311	2301.781250	686	642	44	219.937500	28703077.000000	2039.150114	3	61	58	3	1	1733.147990	1065.784872	0.563425
CRL2097_ActD_SerumStarved	UBC	130403	6	24	1	1991.661320	2834.750000	1756	1698	58	223.546875	29235364.000000	2043.430768	6	216	207	9	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	25	1	1508.043363	2452.531250	1359	1287	72	220.359375	29487203.000000	2090.846132	6	141	134	7	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	26	1	1869.375343	5246.859375	1564	1526	38	277.437500	31173217.000000	1755.644120	8	277	270	7	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	27	1	1507.620126	2964.906250	1370	1311	59	211.609375	26342796.000000	1945.122646	4	164	158	6	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	28	1	3285.440860	3683.421875	2485	2404	81	288.171875	30107878.000000	1632.482676	4	390	379	11	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	29	1	817.965444	3193.968750	970	934	36	221.312500	33537008.000000	2367.763909	3	84	78	6	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	30	1	2692.795849	3738.703125	1540	1471	69	317.562500	32186003.000000	1583.645099	7	200	197	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	31	1	1088.650136	2936.171875	789	751	38	231.750000	30431382.000000	2051.738269	3	102	96	6	1	1413.772042	921.611567	0.459901
CRL2097_ActD_SerumStarved	UBC	130403	6	32	1	1798.292055	3279.296875	1352	1293	59	236.500000	29012003.000000	1916.754955	4	204	199	5	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	33	1	1326.654242	2493.234375	1067	1030	37	217.078125	29883071.000000	2150.944432	4	96	93	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	34	1	1082.519418	2191.921875	782	755	27	208.484375	27116835.000000	2032.289215	1	67	63	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	34	2	1794.729014	2735.343750	1569	1512	57	245.093750	29712749.000000	1894.220898	4	212	201	11	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	UBC	130403	6	35	1	2083.293921	2523.171875	1507	1406	101	281.375000	29358285.000000	1630.291259	7	146	139	7	1	1586.760132	1284.443462	0.598910
