drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	UBC	141105	1uM	7	1	0	0.000000
Triptolide	UBC	141105	1uM	7	2	0	0.000000
Triptolide	UBC	141105	1uM	7	3	0	0.000000
Triptolide	UBC	141105	Ctrl	1	1	2	2655.000000
Triptolide	UBC	141105	Ctrl	1	1	2	1816.000000
Triptolide	UBC	141105	Ctrl	1	2	3	1985.000000
Triptolide	UBC	141105	Ctrl	1	2	3	1815.000000
Triptolide	UBC	141105	Ctrl	1	2	3	1238.000000
Triptolide	UBC	141105	Ctrl	1	3	1	2388.000000
Triptolide	UBC	141105	Ctrl	1	4	2	4027.000000
Triptolide	UBC	141105	Ctrl	1	4	2	4364.000000
Triptolide	UBC	141105	Ctrl	2	1	1	1050.000000
Triptolide	UBC	141105	Ctrl	2	2	2	2189.000000
Triptolide	UBC	141105	Ctrl	2	2	2	2547.000000
Triptolide	UBC	141105	Ctrl	2	3	2	5556.000000
Triptolide	UBC	141105	Ctrl	2	3	2	3325.000000
Triptolide	UBC	141105	Ctrl	2	4	1	2835.000000
Triptolide	UBC	141105	Ctrl	3	1	2	1963.000000
Triptolide	UBC	141105	Ctrl	3	1	2	2414.000000
Triptolide	UBC	141105	Ctrl	3	2	0	0.000000
Triptolide	UBC	141105	Ctrl	3	3	1	2067.000000
Triptolide	UBC	141105	Ctrl	3	4	2	11741.000000
Triptolide	UBC	141105	Ctrl	3	4	2	4673.000000
Triptolide	UBC	141105	Ctrl	3	5	1	2338.000000
Triptolide	UBC	141105	Ctrl	3	6	0	0.000000
Triptolide	UBC	141105	Ctrl	4	1	4	2702.000000
Triptolide	UBC	141105	Ctrl	4	1	4	3283.000000
Triptolide	UBC	141105	Ctrl	4	1	4	2127.000000
Triptolide	UBC	141105	Ctrl	4	1	4	2405.000000
Triptolide	UBC	141105	Ctrl	4	2	2	4982.000000
Triptolide	UBC	141105	Ctrl	4	2	2	5472.000000
Triptolide	UBC	141105	Ctrl	4	3	1	3979.000000
Triptolide	UBC	141105	Ctrl	5	1	2	5034.000000
Triptolide	UBC	141105	Ctrl	5	1	2	2180.000000
Triptolide	UBC	141105	Ctrl	5	2	2	3555.000000
Triptolide	UBC	141105	Ctrl	5	2	2	2361.000000
Triptolide	UBC	141105	Ctrl	5	3	3	3963.000000
Triptolide	UBC	141105	Ctrl	5	3	3	1804.000000
Triptolide	UBC	141105	Ctrl	5	3	3	3515.000000
Triptolide	UBC	141105	Ctrl	5	4	1	6791.000000
Triptolide	UBC	141105	Ctrl	6	1	3	6387.000000
Triptolide	UBC	141105	Ctrl	6	1	3	7731.000000
Triptolide	UBC	141105	Ctrl	6	1	3	6561.000000
Triptolide	UBC	141105	Ctrl	6	2	2	8645.000000
Triptolide	UBC	141105	Ctrl	6	2	2	4850.000000
Triptolide	UBC	141105	Ctrl	6	3	2	8051.000000
Triptolide	UBC	141105	Ctrl	6	3	2	3646.000000
Triptolide	UBC	141105	Ctrl	6	4	1	3000.000000
Triptolide	UBC	141105	Ctrl	7	1	2	3868.000000
Triptolide	UBC	141105	Ctrl	7	1	2	4256.000000
Triptolide	UBC	141105	Ctrl	7	2	2	1050.000000
Triptolide	UBC	141105	Ctrl	7	2	2	1090.000000
Triptolide	UBC	141105	Ctrl	7	3	1	6403.000000
Triptolide	UBC	141105	Ctrl	7	4	2	7272.000000
