cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	rrnaIntensityTotal 	 rrnaIntensityAvg 	itsIntensityTotal 	 itsIntensityAvg 	numCyclin 
rRNA	130606	8	1	1968.649708	1755.062500	2856	2554	302	246.500000	20964937.000000	1328.913349	1340942313.000000	13888.866812	141573369.000000	33453.064509	1
rRNA	130606	9	1	2488.204579	1764.171875	2643	2431	212	358.656250	22863841.000000	996.072188	1133281239.000000	12598.593032	181796034.000000	37360.467324	80
rRNA	130606	10	1	2378.273204	2841.109375	2202	2058	144	242.812500	21317185.000000	1371.762227	1107836707.000000	6662.036472	51820621.000000	10592.931521	23
rRNA	130606	11	1	2377.143895	2709.562500	3891	3621	270	238.640625	22611278.000000	1480.473908	2425777483.000000	15339.527144	148613520.000000	24164.800000	28
rRNA	130606	12	1	3207.633869	3508.234375	4454	4188	266	268.593750	20647193.000000	1201.116521	1739773442.000000	8391.041840	201608709.000000	3099.717240	60
rRNA	130606	13	1	2942.337336	2807.015625	3492	3167	325	272.875000	24345029.000000	1394.012197	1157631383.000000	7137.721633	121507691.000000	27621.661969	140
rRNA	130606	14	1	1432.373304	2041.875000	2496	2298	198	236.781250	32201864.000000	2124.974528	2019062145.000000	17477.123288	108047428.000000	23560.276494	133
rRNA	130606	15	1	2866.031477	3704.750000	2939	2679	260	310.718750	22240023.000000	1118.375893	1768235285.000000	8140.371815	179728458.000000	35745.516706	5
rRNA	130606	16	1	2052.358538	3839.312500	2626	2431	195	222.640625	20857586.000000	1463.792968	1191928513.000000	5149.453326	118210963.000000	2454.699483	3
rRNA	130606	17	1	1324.262045	4503.484375	2840	2609	231	315.859375	26763266.000000	1323.931041	2572878647.000000	9600.006892	0.000000	0.000000	8
rRNA	130606	18	1	5629.964109	5058.437500	7219	6801	418	465.312500	45270337.000000	1520.159066	5073518298.000000	17259.213151	0.000000	0.000000	6
rRNA	130606	19	1	2481.076685	3097.468750	3112	2942	170	228.296875	23860424.000000	1633.045240	2431171730.000000	13239.729070	0.000000	0.000000	10
rRNA	130606	20	1	1798.315091	2420.187500	2505	2250	255	274.031250	23292948.000000	1328.141635	1855661422.000000	13510.064665	0.000000	0.000000	66
rRNA	130606	21	1	3209.561592	3049.484375	2974	2764	210	258.796875	21831984.000000	1318.117732	2003891446.000000	11219.745616	130044492.000000	15023.624307	2
rRNA	130606	22	1	3238.607812	2659.859375	3773	3513	260	223.015625	19886238.000000	1393.276676	1684952822.000000	10803.888367	151124971.000000	5625.347888	16
rRNA	130606	23	1	3752.494269	3208.546875	4084	3683	401	294.609375	22104763.000000	1172.355503	1592129634.000000	8537.254327	112342990.000000	26309.833724	41
rRNA	130606	24	1	2376.658521	2184.765625	3105	2914	191	245.921875	26309975.000000	1671.642099	1654878219.000000	13336.542551	3341015.000000	149.419275	77
rRNA	130606	25	1	2882.696632	4631.281250	3877	3502	375	315.218750	25778395.000000	1277.802865	2145309828.000000	7766.445936	102479579.000000	14421.556290	7
rRNA	130606	26	1	2637.517928	1575.531250	2937	2625	312	228.828125	18373409.000000	1254.585797	988239571.000000	11465.959357	94907140.000000	25671.393021	11
rRNA	130606	27	1	2268.035829	1298.093750	2856	2241	615	217.734375	20401631.000000	1464.056764	2056834673.000000	29747.547445	206308010.000000	6842.947030	1
rRNA	130606	28	1	1708.773276	1769.609375	2806	2609	197	211.062500	20295149.000000	1502.454027	1663220567.000000	16674.391881	0.000000	0.000000	5
rRNA	130606	29	1	2122.516342	2825.718750	2781	2597	184	225.218750	20931375.000000	1452.155890	1758672772.000000	10566.914848	154101519.000000	1675.562890	8
